id,url,name,date,hour,place_name,city,street,image,lat,lon
81,https://www.trojmiasto.pl/imprezy/Muzyka-Hansa-Zimmera-imp577255.html,Muzyka Hansa Zimmera,3 grudnia 2025,godz. 19:00,Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4067/185x260/4067703__c_141_0_612_817__kr.webp,54.3527237,18.6616097
82,https://www.trojmiasto.pl/imprezy/XI-Festiwal-Gdanscy-Pianisci-Miastu-imp584926.html,XI Festiwal Gdańscy Pianiści Miastu,26 - 30 listopada 2025,godz. 18:00,NCK,Gdańsk,Korzenna 33/35,https://s-trojmiasto.pl/zdj/c/n/3/4177/185x260/4177007__c_1145_0_957_1276__kr.webp,54.3539639,18.6480183
83,https://www.trojmiasto.pl/imprezy/Bonnie-Tyler-40-Years-Total-Eclipse-of-the-Heart-imp564936.html,"Bonnie Tyler - 40 Years ""Total Eclipse of the Heart""",5 grudnia 2025,godz. 20:00,Ergo Arena,Gdańsk Sopot,pl. Dwóch Miast 1,https://s-trojmiasto.pl/zdj/c/n/3/3881/185x260/3881640__c_0_0_552_736__kr.webp,54.4265278,18.5805248
84,https://www.trojmiasto.pl/imprezy/Kopciuszek-2024-Transmisja-z-Londynu-w-Helios-na-Scenie-imp583595.html,Kopciuszek (2024) Transmisja z Londynu w Helios na Scenie,30 listopada 2025,godz. 15:00,Helios Riviera Gdynia,Gdynia,Kazimierza Górskiego 2,https://s-trojmiasto.pl/zdj/c/n/3/4159/185x260/4159462__c_0_52_690_920__kr.webp,54.5043915,18.5317118
85,https://www.trojmiasto.pl/imprezy/Accantus-Live-7-imp574753.html,Accantus Live 7,30 listopada 2025,godz. 18:00,Stary Maneż,Gdańsk,Juliusza Słowackiego 23,https://s-trojmiasto.pl/zdj/c/n/3/4032/185x260/4032880__c_198_0_509_678__kr.webp,54.3807195,18.5888897
86,https://www.trojmiasto.pl/imprezy/Ktory-to-Robin-Teatr-Rzeczy-Warszawa-imp581940.html,"Który to Robin (Teatr Rzeczy, Warszawa)",30 listopada 2025,godz. 19:00,Teatr BOTO,Sopot,Bohaterów Monte Cassino 54B,https://s-trojmiasto.pl/zdj/c/n/3/4137/185x260/4137235__c_340_0_1500_1990__kr.webp,54.4439449,18.5678147
87,https://www.trojmiasto.pl/imprezy/William-Malcolm-and-the-Dracul-Affair-Festiwal-Cinematika-imp585642.html,William Malcolm and the Dracul Affair | Festiwal Cinematika,29 listopada 2025,godz. 20:00,Ulica Elektryków,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4184/185x260/4184019__c_0_0_900_1200__kr.webp,54.3644456,18.6482802
88,https://www.trojmiasto.pl/imprezy/Way2lit-Festival-imp584998.html,Way2lit Festival,5 grudnia 2025,godz. 17:00,B90,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4177/185x260/4177442__c_294_0_372_496__kr.webp,54.3644456,18.6482802
89,https://www.trojmiasto.pl/imprezy/Immortal-onion-2-koncerty-imp586059.html,Immortal onion | 2 koncerty,3 grudnia 2025,godz. 20:00,Scena Monk,Gdańsk,Garncarska 18/20,https://s-trojmiasto.pl/zdj/c/n/3/4189/185x260/4189892__c_292_0_377_502__kr.webp,54.3523334,18.6471942
90,https://www.trojmiasto.pl/imprezy/Zwierzogrod-2-mikolajkowe-seanse-z-konkursami-imp585780.html,Zwierzogród 2 - mikołajkowe seanse z konkursami,5 grudnia 2025,"godz. 16:30, 19:00",Helios Forum Gdańsk,Gdańsk,Targ Sienny 7,https://s-trojmiasto.pl/zdj/c/n/3/4186/185x260/4186740__c_1_0_398_532__kr.webp,54.3505875,18.6440673
